accelerationvoltage,Acceleration Voltage,n
alignment,Alignment,n
amplitude,Amplitude,n
amplitudeunit,Amplitude Unit,n
analysisdwelltime,Analysis Dwell Time,n
aperture,Aperture,n
apertureunit,Aperture Unit,n
areaofinterest,Area of Interest,n
associatedfiles,Associated Files,y
atomicmode,AtomicMode,n
averaging,Averaging,n
backgroundcomposition,Background Composition,n
backgroundcorrectionfrequencyandnotes,Background Correction Frequency and Notes,n
backgroundcorrectiontechnique,Background Correction Technique,n
backgrounddwelltime,Background Dwell Time,n
bands,Bands,y
beamcurrent,Beam Current,n
boundaries,Boundaries,y
calibration,Calibration,n
calibrationstandardnotes,Calibration Standard Notes,n
camerabinning,Camera Binning,n
cameralength,Camera Length,n
cantileverstiffness,Cantilever Stiffness,n
cements,Cements,n
chilledmarginsdescription,Chilled Margins Description,n
clasticdeformationbandinfo,Clastic Deformation Band Info,y
closure,Closure,n
closureother,Closure Other,n
color,Color,n
composition,Composition,n
compositionnotes,Composition Notes,n
crystallitesdistribution,Crystallites Distribution,n
crystalliteslowersize,Crystallites Lower Size,n
crystalliteslowersizeunit,Crystallites Lower Size Unit,n
crystallitesmineralogy,Crystallites Mineralogy,n
crystallitesshapes,Crystallites Shapes,y
crystallitesuppersize,Crystallites Upper Size,n
crystallitesuppersizeunit,Crystallites Upper Size Unit,n
crystalliteszoning,Crystallites Zoning,n
crystalliteszoningdetails,Crystallites Zoning Details,n
crystalshapes,Crystal Shapes,y
crystaltype,Crystal Type,n
datacollectionsoftware,Data Collection Software,n
datacollectionsoftwareversion,Data Collection Software Version,n
datasets,Datasets,y
datatype,Data Type,n
date,Date,n
deadtime,Dead Time,n
degreeofweathering,Degree of Weathering,n
description,Description,n
descriptors,Descriptors,y
detectormake,Detector Make,n
detectormodel,Detector Model,n
detectortype,Detector Type,n
diffractiongrating,Diffraction Grating,n
distancetocenter,Distance to Center,n
dwelltime,Dwell Time,n
element,Element,n
enddate,End Date,n
endpointorder,End Point Order,n
endx,End X,n
endy,End Y,n
energyloss,Energy Loss,n
environmentpurged,Environment Purged,n
environmentpurgedgastype,Environment Purged Gas Type,n
excitationwavelength,Excitation Wavelength,n
existsonserver,Exists On Server,n
fabriccategory,Fabric Category,n
fabriccleavageinfo,Fabric Cleavage Info,y
fabriccompositioninfo,Fabric Composition Info,y
